max_depth,criterian,splitter,max_features,class_weight_o,class_weight_1,ccp_alpha,accuracy,precision,recall,f1_score,roc_auc
3,gini,best,sqrt,1,2,0.0,0.811,0.753,0.862,0.804,0.883
3,gini,best,sqrt,1,2,0.001,0.796,0.717,0.9,0.798,0.881
3,gini,best,sqrt,1,2,0.01,0.739,0.69,0.757,0.722,0.784
3,gini,best,sqrt,2,4,0.0,0.788,0.717,0.872,0.787,0.888
3,gini,best,sqrt,2,4,0.001,0.76,0.687,0.853,0.761,0.839
3,gini,best,sqrt,2,4,0.01,0.829,0.776,0.869,0.82,0.865
3,gini,best,sqrt,3,6,0.0,0.815,0.753,0.875,0.809,0.883
3,gini,best,sqrt,3,6,0.001,0.775,0.699,0.872,0.776,0.854
3,gini,best,sqrt,3,6,0.01,0.829,0.776,0.869,0.82,0.871
3,gini,best,sqrt,4,8,0.0,0.831,0.8,0.831,0.815,0.902
3,gini,best,sqrt,4,8,0.001,0.789,0.708,0.901,0.793,0.869
3,gini,best,sqrt,4,8,0.01,0.828,0.801,0.821,0.811,0.864
3,gini,best,sqrt,5,10,0.0,0.781,0.705,0.881,0.783,0.864
3,gini,best,sqrt,5,10,0.001,0.829,0.776,0.869,0.82,0.9
3,gini,best,sqrt,5,10,0.01,0.808,0.742,0.877,0.804,0.878
3,gini,best,log2,1,2,0.0,0.758,0.691,0.831,0.755,0.835
3,gini,best,log2,1,2,0.001,0.753,0.728,0.715,0.721,0.786
3,gini,best,log2,1,2,0.01,0.749,0.664,0.889,0.761,0.836
3,gini,best,log2,2,4,0.0,0.811,0.776,0.814,0.794,0.867
3,gini,best,log2,2,4,0.001,0.769,0.672,0.945,0.785,0.887
3,gini,best,log2,2,4,0.01,0.798,0.801,0.731,0.765,0.827
3,gini,best,log2,3,6,0.0,0.813,0.879,0.675,0.764,0.854
3,gini,best,log2,3,6,0.001,0.832,0.844,0.768,0.804,0.88
3,gini,best,log2,3,6,0.01,0.777,0.693,0.899,0.783,0.835
3,gini,best,log2,4,8,0.0,0.789,0.717,0.873,0.787,0.879
3,gini,best,log2,4,8,0.001,0.773,0.723,0.798,0.759,0.839
3,gini,best,log2,4,8,0.01,0.771,0.692,0.881,0.775,0.843
3,gini,best,log2,5,10,0.0,0.767,0.68,0.906,0.777,0.85
